sample_id,dataset_id,included_systems,raw_input,normalized_input,canonical_degree,canonical_country_system,country_code,region,qualification_level,degree_family,short_code,duration_hint,local_level,variant_alias_kind,variant_prefix_kind,variant_suffix_kind,variant_case_kind,expected_status,expected_layer,is_degree_only,source_note,is_ambiguous_across_systems,is_ambiguous_across_degrees,duplicate_normalized_count
IND_USA-000022,IND_USA,India + United States,10TH qualification,10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000023,IND_USA,India + United States,10TH (India),10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000024,IND_USA,India + United States,10TH (IN),10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000025,IND_USA,India + United States,10TH (school qualification),10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000026,IND_USA,India + United States,Indian 10TH,indian 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000027,IND_USA,India + United States,Indian 10TH qualification,indian 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000028,IND_USA,India + United States,Indian 10TH (India),indian 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000029,IND_USA,India + United States,Indian 10TH (IN),indian 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000030,IND_USA,India + United States,Indian 10TH (school qualification),indian 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000031,IND_USA,India + United States,India 10TH,india 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000032,IND_USA,India + United States,India 10TH qualification,india 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000033,IND_USA,India + United States,India 10TH (India),india 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000034,IND_USA,India + United States,India 10TH (IN),india 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000035,IND_USA,India + United States,India 10TH (school qualification),india 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000036,IND_USA,India + United States,IN 10TH,in 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000037,IND_USA,India + United States,IN 10TH qualification,in 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000038,IND_USA,India + United States,IN 10TH (India),in 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000039,IND_USA,India + United States,IN 10TH (IN),in 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000040,IND_USA,India + United States,IN 10TH (school qualification),in 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000041,IND_USA,India + United States,CBSE10th,cbse10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000042,IND_USA,India + United States,CBSE10th qualification,cbse10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000043,IND_USA,India + United States,CBSE10th (India),cbse10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000044,IND_USA,India + United States,CBSE10th (IN),cbse10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000045,IND_USA,India + United States,CBSE10th (school qualification),cbse10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000046,IND_USA,India + United States,Indian CBSE10th,indian cbse10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000047,IND_USA,India + United States,Indian CBSE10th qualification,indian cbse10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000048,IND_USA,India + United States,Indian CBSE10th (India),indian cbse10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000049,IND_USA,India + United States,Indian CBSE10th (IN),indian cbse10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000050,IND_USA,India + United States,Indian CBSE10th (school qualification),indian cbse10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000051,IND_USA,India + United States,India CBSE10th,india cbse10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000052,IND_USA,India + United States,India CBSE10th qualification,india cbse10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000053,IND_USA,India + United States,India CBSE10th (India),india cbse10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000054,IND_USA,India + United States,India CBSE10th (IN),india cbse10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000055,IND_USA,India + United States,India CBSE10th (school qualification),india cbse10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000056,IND_USA,India + United States,IN CBSE10th,in cbse10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000057,IND_USA,India + United States,IN CBSE10th qualification,in cbse10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000058,IND_USA,India + United States,IN CBSE10th (India),in cbse10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000059,IND_USA,India + United States,IN CBSE10th (IN),in cbse10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000060,IND_USA,India + United States,IN CBSE10th (school qualification),in cbse10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000061,IND_USA,India + United States,cbse 10th,cbse 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000062,IND_USA,India + United States,cbse 10th qualification,cbse 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000063,IND_USA,India + United States,cbse 10th (India),cbse 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000064,IND_USA,India + United States,cbse 10th (IN),cbse 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000065,IND_USA,India + United States,cbse 10th (school qualification),cbse 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000066,IND_USA,India + United States,Indian cbse 10th,indian cbse 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000067,IND_USA,India + United States,Indian cbse 10th qualification,indian cbse 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000068,IND_USA,India + United States,Indian cbse 10th (India),indian cbse 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000069,IND_USA,India + United States,Indian cbse 10th (IN),indian cbse 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000070,IND_USA,India + United States,Indian cbse 10th (school qualification),indian cbse 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000071,IND_USA,India + United States,India cbse 10th,india cbse 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000072,IND_USA,India + United States,India cbse 10th qualification,india cbse 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000073,IND_USA,India + United States,India cbse 10th (India),india cbse 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000074,IND_USA,India + United States,India cbse 10th (IN),india cbse 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000075,IND_USA,India + United States,India cbse 10th (school qualification),india cbse 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_name,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000076,IND_USA,India + United States,IN cbse 10th,in cbse 10th,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000077,IND_USA,India + United States,IN cbse 10th qualification,in cbse 10th qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000078,IND_USA,India + United States,IN cbse 10th (India),in cbse 10th india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000079,IND_USA,India + United States,IN cbse 10th (IN),in cbse 10th in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000080,IND_USA,India + United States,IN cbse 10th (school qualification),in cbse 10th school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_code,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000081,IND_USA,India + United States,X (Hons),x hons,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000082,IND_USA,India + United States,X (Hons) qualification,x hons qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000083,IND_USA,India + United States,X (Hons) (India),x hons india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000084,IND_USA,India + United States,X (Hons) (IN),x hons in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000085,IND_USA,India + United States,X (Hons) (school qualification),x hons school qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,none,duration_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000086,IND_USA,India + United States,Indian X (Hons),indian x hons,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,none,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000087,IND_USA,India + United States,Indian X (Hons) qualification,indian x hons qualification,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,degree_word,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000088,IND_USA,India + United States,Indian X (Hons) (India),indian x hons india,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
IND_USA-000089,IND_USA,India + United States,Indian X (Hons) (IN),indian x hons in,10th Standard,India,IN,South Asia,SCHOOL,school,10TH,school qualification,SCHOOL,alias,country_adjective,country_code_parenthetical,as_catalogued,resolved,degree_only_lookup_or_fuzzy,true,data/degree_dictionary.json filtered to degree-only aliases,false,false,1
