raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
Aarav holds a 4-Year B.Tech (Hons) degree in ChE.,Bachelor of Technology,Bachelor of Science,Chemical Engineering,Chemical Engineering,review_needed,L3,0.5,50.0,wrong_degree
"Education: B.TECH/BE, chemicalengineering, Manipal University, batch of 2025.",Bachelor of Technology,Bachelor of Engineering,Chemical Engineering,,review_needed,L2,0.7,70.0,wrong_degree_and_field
Graduate of IIT Delhi; qualification b.tech (hons) (chemengg).,Bachelor of Technology,Master of Science,Chemical Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
b.tech. - Chemical Engineering - Delhi University - 2016,Bachelor of Technology,Bachelor of Technology,Chemical Engineering,,resolved,L1,1.0,100,wrong_field
I completed my 4-YEAR B.TECH in Aero Engg from Jadavpur University in 2023.,Bachelor of Technology,Bachelor of Engineering,Aerospace Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
Currently pursuing 4-Year B.Tech (Hons) with specialization in aeroengg at VIT Vellore.,Bachelor of Technology,with specialization,Aerospace Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
Ananya holds a B.TECH/BE degree in aeronauticalengineering.,Bachelor of Technology,Bachelor of Engineering,Aerospace Engineering,,review_needed,L3,0.75,75.0,wrong_degree_and_field
"Education: b.tech (hons), Aeronautical Engineering, IIT Delhi, batch of 2026.",Bachelor of Technology,Bachelor of Science,Aerospace Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Delhi University; qualification b.tech. (aerospaceengg).,Bachelor of Technology,Bachelor of Science,Aerospace Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
I completed my 4-Year B.Tech (Hons) in biotechnologyengg from VIT Vellore in 2024.,Bachelor of Technology,Bachelor of Engineering,Biotechnology Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
Currently pursuing B.TECH/BE with specialization in biotechengg at Manipal University.,Bachelor of Technology,Bachelor of Engineering,Biotechnology Engineering,,review_needed,L3,0.75,75.0,wrong_degree_and_field
"Education: b.tech., Biotechnology Engineering, Delhi University, batch of 2016.",Bachelor of Technology,Bachelor of Science,Biotechnology Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of University of Mumbai; qualification B. TECH (biotech).,Bachelor of Technology,Master of Science,Biotechnology Engineering,Biotechnology Engineering,review_needed,L3,0.5,50.0,wrong_degree
I completed my B.TECH/BE in Artificial Intelligence from Manipal University in 2025.,Bachelor of Technology,Bachelor of Engineering,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,review_needed,L3,0.75,75.0,wrong_degree
Currently pursuing b.tech (hons) with specialization in artificialintelligence at IIT Delhi.,Bachelor of Technology,with specialization,Artificial Intelligence and Machine Learning,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: B. TECH, machinelearning, University of Mumbai, batch of 2017.",Bachelor of Technology,Master of Science,Artificial Intelligence and Machine Learning,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Anna University; qualification B.Tech. (Hons) (AI and ML).,Bachelor of Technology,Bachelor of Science,Artificial Intelligence and Machine Learning,,review_needed,L3,0.5,50.0,wrong_degree_and_field
I completed my b.tech (hons) in Data Sc from IIT Delhi in 2026.,Bachelor of Technology,Bachelor of Science,Data Science,Data Science,review_needed,L3,0.5,50.0,wrong_degree
Currently pursuing b.tech. with specialization in datasc at Delhi University.,Bachelor of Technology,Bachelor of Technology,Data Science,,review_needed,L3,0.72,72.0,wrong_field
Neha holds a B. TECH degree in datascience.,Bachelor of Technology,Bachelor of Technology,Data Science,,review_needed,L3,0.72,72.0,wrong_field
"Education: B.Tech. (Hons), Data Science, Anna University, batch of 2018.",Bachelor of Technology,Bachelor of Science,Data Science,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Pune University; qualification B. Tech (Hons) (ds).,Bachelor of Technology,,Data Science,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"Education: B. Tech (Hons), networksecurity, Pune University, batch of 2019.",Bachelor of Technology,,Cybersecurity,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B.Tech. (Hons) with specialization in softwareengg at Anna University.,Bachelor of Technology,with specialization,Software Engineering,Software Engineering,review_needed,L3,0.62,62.0,wrong_degree
Isha holds a B. Tech (Hons) degree in softwareengineering.,Bachelor of Technology,Bachelor of Technology,Software Engineering,,review_needed,L3,0.72,72.0,wrong_field
Graduate of IIM Ahmedabad; qualification B. Tech Hons (se).,Bachelor of Technology,,Software Engineering,Software Engineering,review_needed,L3,0.35,35.0,wrong_degree
I completed my B.Tech. (Hons) in Instrumentation Engineering from Anna University in 2018.,Bachelor of Technology,Bachelor of Science,Instrumentation Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Currently pursuing B. Tech (Hons) with specialization in instrumentationengg at Pune University.,Bachelor of Technology,with specialization,Instrumentation Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: B. Tech Hons, ie, IIM Ahmedabad, batch of 2021.",Bachelor of Technology,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Jadavpur University; qualification 4-YearB.Tech (IE).,Bachelor of Technology,Bachelor of Science,Instrumentation Engineering,Production Engineering,review_needed,L3,0.5,50.0,wrong_degree_and_field
4-Year B Tech - iandc - VIT Vellore - 2023,Bachelor of Technology,Bachelor of Technology,Instrumentation Engineering,,resolved,L1,1.0,100,wrong_field
I completed my B. Tech (Hons) in Production Engineering from Pune University in 2019.,Bachelor of Technology,,Production Engineering,,review_needed,L3,0.35,35.0,wrong_degree_and_field
Aarav holds a B. Tech Hons degree in productionengg.,Bachelor of Technology,Bachelor of Technology,Production Engineering,,review_needed,L3,0.72,72.0,wrong_field
Graduate of VIT Vellore; qualification 4-Year B Tech (manufacturing).,Bachelor of Technology,,Production Engineering,Production Engineering,review_needed,L3,0.35,35.0,wrong_degree
I completed my bachelor of technology in metallurgicalengg from Amity University in 2020.,Bachelor of Technology,Bachelor of Technology,Metallurgical Engineering,,review_needed,L2,0.8035,80.4,wrong_field
Currently pursuing B. Tech Hons with specialization in materialsscience at IIM Ahmedabad.,Bachelor of Technology,Bachelor of Technology,Metallurgical Engineering,,review_needed,L3,0.72,72.0,wrong_field
Graduate of Manipal University; qualification B.Tech(Hons) (materialsengg).,Bachelor of Technology,Bachelor of Science,Metallurgical Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Currently pursuing 4-YearB.Tech with specialization in Environmental Engineering at Jadavpur University.,Bachelor of Technology,YearB.Tech with specialization,Environmental Engineering,Environmental Engineering,review_needed,L3,0.62,62.0,wrong_degree
Riya holds a 4-Year B Tech degree in environmentalengg.,Bachelor of Technology,Bachelor of Technology,Environmental Engineering,,review_needed,L2,0.8478,84.8,wrong_field
"Education: B.Tech(Hons), environmentalengineering, Manipal University, batch of 2024.",Bachelor of Technology,Bachelor of Science,Environmental Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of IIT Delhi; qualification BachelorofTechnology (environmentengineering).,Bachelor of Technology,Bachelor of Science,Environmental Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Currently pursuing 4-Year B Tech with specialization in textile at VIT Vellore.,Bachelor of Technology,Year B Tech with specialization,Textile Engineering,Textile Engineering,review_needed,L3,0.62,62.0,wrong_degree
Graduate of Delhi University; qualification Bacheler of Technology (Hons) (textileengg).,Bachelor of Technology,Bachelor of Science,Textile Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
I completed my 4-Year B Tech in Food Technology from VIT Vellore in 2023.,Bachelor of Technology,Bachelor of Technology,Food Technology,,review_needed,L2,0.872,87.2,wrong_field
Currently pursuing B.Tech(Hons) with specialization in foodtechnology at Manipal University.,Bachelor of Technology,with specialization,Food Technology,,review_needed,L3,0.62,62.0,wrong_degree_and_field
Neha holds a BachelorofTechnology degree in foodscience.,Bachelor of Technology,Bachelor of Technology,Food Technology,,fuzzy_matched,L2,0.8833,88.3,wrong_field
"Education: Bacheler of Technology (Hons), Food Science, Delhi University, batch of 2026.",Bachelor of Technology,Bachelor of Science,Food Technology,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of University of Mumbai; qualification BTech (Hons) (foodscienceandtechnology).,Bachelor of Technology,Bachelor of Technology,Food Technology,,review_needed,L3,0.75,75.0,wrong_field
I completed my Enginering of Engineering in Computer Science & Engineering from Manipal University in 2024.,Bachelor of Engineering,Master of Engineering,Computer Science and Engineering,,review_needed,L2,0.7038,70.4,wrong_degree_and_field
Graduate of Anna University; qualification Bachelor of Engineering (Hons) (compsci).,Bachelor of Engineering,Bachelor of Science,Computer Science and Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Bachelor of Engineering Hons - Information Technology - Pune University - 2018,Bachelor of Engineering,Bachelor of Engineering,Computer Science and Engineering,,resolved,L1,1.0,100,wrong_field
Currently pursuing bachelor of engineering with specialization in infotech at Delhi University.,Bachelor of Engineering,bachelor of engineering,Information Technology,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: Bachelor of Engineering (Hons), Infotech, Anna University, batch of 2017.",Bachelor of Engineering,Bachelor of Science,Information Technology,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Pune University; qualification Bachelor of Engineering Hons (Information Tech).,Bachelor of Engineering,Bachelor of Science,Information Technology,Information Technology,review_needed,L3,0.5,50.0,wrong_degree
Tecnolgy of Engineering - informationtech - Amity University - 2019,Bachelor of Engineering,Master of Engineering,Information Technology,,review_needed,L2,0.7667,76.7,wrong_degree_and_field
Currently pursuing BACHELER OF ENGINEERING with specialization in E&C at University of Mumbai.,Bachelor of Engineering,BACHELER OF ENGINEERING,Electronics and Communication Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
Rohan holds a Bachelor of Engineering (Hons) degree in eandc.,Bachelor of Engineering,Bachelor of Engineering,Electronics and Communication Engineering,,review_needed,L2,0.7317,73.2,wrong_field
Graduate of Amity University; qualification Tecnolgy of Engineering (ec).,Bachelor of Engineering,,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L3,0.35,35.0,wrong_degree
Currently pursuing Bachelor of Engineering (Hons) with specialization in electengg at Anna University.,Bachelor of Engineering,with specialization,Electrical Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: Tecnolgy of Engineering, electricalandelectronics, Amity University, batch of 2019.",Bachelor of Engineering,Diploma in Engineering,Electrical Engineering,,review_needed,L2,0.7536,75.4,wrong_degree_and_field
Graduate of IIM Ahmedabad; qualification Bacheler of Engineering Hons (Electrical & Electronics).,Bachelor of Engineering,Bachelor of Science,Electrical Engineering,Electrical Engineering,review_needed,L3,0.5,50.0,wrong_degree
Currently pursuing Bachelor of Engineering Hons with specialization in Mechanical Engg at Pune University.,Bachelor of Engineering,Bachelor of Engineering Hons,Mechanical Engineering,Mechanical Engineering,review_needed,L3,0.62,62.0,wrong_degree
Ananya holds a Tecnolgy of Engineering degree in mechanicalengg.,Bachelor of Engineering,Bachelor of Engineering,Mechanical Engineering,,review_needed,L2,0.7143,71.4,wrong_field
Graduate of Jadavpur University; qualification be (mechanicalengineering).,Bachelor of Engineering,Bachelor of Engineering,Mechanical Engineering,,review_needed,L3,0.75,75.0,wrong_field
Currently pursuing Tecnolgy of Engineering with specialization in Civil at Amity University.,Bachelor of Engineering,Tecnolgy of Engineering,Civil Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: be, civilengg, Jadavpur University, batch of 2021.",Bachelor of Engineering,Bachelor of Engineering,Civil Engineering,,review_needed,L3,0.75,75.0,wrong_field
Graduate of VIT Vellore; qualification B.ENG (Civil Engg.).,Bachelor of Engineering,,Civil Engineering,Civil Engineering,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Bacheler of Engineering - civilengineering - Manipal University - 2023,Bachelor of Engineering,Bachelor of Engineering,Civil Engineering,,resolved,L1,1.0,100,wrong_field
I completed my Tecnolgy of Engineering in chemical from Amity University in 2019.,Bachelor of Engineering,Master of Technology,Chemical Engineering,,review_needed,L2,0.7368,73.7,wrong_degree_and_field
Currently pursuing Bacheler of Engineering Hons with specialization in Chemical at IIM Ahmedabad.,Bachelor of Engineering,Bacheler of Engineering Hons,Chemical Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: B.ENG, ChE, VIT Vellore, batch of 2022.",Bachelor of Engineering,,Chemical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Manipal University; qualification Bacheler of Engineering (chemicalengineering).,Bachelor of Engineering,Bachelor of Science,Chemical Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
B. E. Hons - chemengg - IIT Delhi - 2024,Bachelor of Engineering,Bachelor of Engineering,Chemical Engineering,,resolved,L1,1.0,100,wrong_field
Graduate of IIT Delhi; qualification B. E. Hons (Aerospace).,Bachelor of Engineering,,Aerospace Engineering,Aerospace Engineering,review_needed,L3,0.35,35.0,wrong_degree
"Education: B. E. Hons, biotechnologyengg, IIT Delhi, batch of 2024.",Bachelor of Engineering,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Delhi University; qualification be hons (biotechengg).,Bachelor of Engineering,Bachelor of Engineering,Biotechnology Engineering,,review_needed,L3,0.75,75.0,wrong_field
I completed my B.ENG in IE from VIT Vellore in 2022.,Bachelor of Engineering,Bachelor of Engineering,Instrumentation Engineering,Production Engineering,review_needed,L3,0.72,72.0,wrong_field
Currently pursuing Bacheler of Engineering with specialization in iandc at Manipal University.,Bachelor of Engineering,Bacheler of Engineering,Instrumentation Engineering,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: be hons, instrumentationandcontrol, Delhi University, batch of 2025.",Bachelor of Engineering,Bachelor of Engineering,Instrumentation Engineering,,review_needed,L3,0.75,75.0,wrong_field
Graduate of University of Mumbai; qualification B.E. Hons (Instrumentation and Control).,Bachelor of Engineering,Master of Science,Instrumentation Engineering,Instrumentation Engineering,review_needed,L3,0.5,50.0,wrong_degree
I completed my Bacheler of Engineering in productionengg from Manipal University in 2023.,Bachelor of Engineering,Bachelor of Engineering,Production Engineering,,fuzzy_matched,L2,0.9139,91.4,wrong_field
"Education: B.E. Hons, Manufacturing, University of Mumbai, batch of 2026.",Bachelor of Engineering,Master of Science,Production Engineering,,review_needed,L3,0.5,50.0,wrong_degree_and_field
Graduate of Anna University; qualification b.eng (manufacturingengg).,Bachelor of Engineering,,Production Engineering,,review_needed,L3,0.35,35.0,wrong_degree_and_field
I completed my B.SC in engineeringphysics from IIT Delhi in 2024.,Bachelor of Science,Bachelor of Science,Physics,,review_needed,L3,0.72,72.0,wrong_field
Currently pursuing B.Sc (Hons) with specialization in Engineering Physics at Delhi University.,Bachelor of Science,with specialization,Physics,Physics,review_needed,L3,0.62,62.0,wrong_degree
Graduate of Pune University; qualification B. Sc (Hons) (phy).,Bachelor of Science,,Physics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Ananya holds a BScHons degree in chemistry.,Bachelor of Science,BScHons degree,Chemistry,Chemistry,review_needed,L3,0.62,62.0,wrong_degree
"Education: B. Sc (Hons), Chem, Pune University, batch of 2017.",Bachelor of Science,,Chemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Amity University; qualification b.sc. (chem).,Bachelor of Science,Bachelor of Science,Chemistry,Chemical Engineering,review_needed,L3,0.5,50.0,wrong_field
B. Sc Hons - appliedchemistry - IIM Ahmedabad - 2019,Bachelor of Science,Bachelor of Science,Chemistry,,resolved,L1,1.0,100,wrong_field
I completed my BSc in puremathematics from University of Mumbai in 2026.,Bachelor of Science,Bachelor of Science,Mathematics,,review_needed,L3,0.75,75.0,wrong_field
Currently pursuing BScHons with specialization in Pure Mathematics at Anna University.,Bachelor of Science,BScHons,Mathematics,Mathematics,review_needed,L3,0.62,62.0,wrong_degree
Riya holds a B. Sc (Hons) degree in statsandmaths.,Bachelor of Science,Bachelor of Science,Mathematics,,review_needed,L3,0.72,72.0,wrong_field
Graduate of IIM Ahmedabad; qualification B. Sc Hons (Mathematics).,Bachelor of Science,,Mathematics,Mathematics,review_needed,L3,0.35,35.0,wrong_degree
B Sc - mathematics - Jadavpur University - 2020,Bachelor of Science,Bachelor of Science,Mathematics,,resolved,L1,1.0,100,wrong_field
Currently pursuing B. Sc (Hons) with specialization in Stats at Pune University.,Bachelor of Science,with specialization,Statistics,Statistics,review_needed,L3,0.62,62.0,wrong_degree
"Education: B. Sc Hons, Applied Statistics, IIM Ahmedabad, batch of 2019.",Bachelor of Science,,Statistics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Jadavpur University; qualification B Sc (appliedstatistics).,Bachelor of Science,,Statistics,,review_needed,L3,0.35,35.0,wrong_degree_and_field
BSC - statisticsanddatascience - VIT Vellore - 2021,Bachelor of Science,Bachelor of Science,Statistics,,resolved,L1,1.0,100,wrong_field
I completed my B. Sc (Hons) in Bio from Pune University in 2017.,Bachelor of Science,,Biology,Biology,review_needed,L3,0.35,35.0,wrong_degree
"Education: B Sc, lifesciences, Jadavpur University, batch of 2020.",Bachelor of Science,,Biology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of VIT Vellore; qualification BSC (biologicalsciences).,Bachelor of Science,Bachelor of Science,Biology,,review_needed,L3,0.75,75.0,wrong_field
bachelor of science - Microbiology - IIT Delhi - 2023,Bachelor of Science,Bachelor of Science,Microbiology,,resolved,L1,1.0,100,wrong_field
B  Sc - biochemistry - Delhi University - 2024,Bachelor of Science,Bachelor of Science,Biochemistry,,resolved,L1,1.0,100,wrong_field
Currently pursuing BSC with specialization in computationalbiology at VIT Vellore.,Bachelor of Science,Bachelor of Science,Bioinformatics,,review_needed,L3,0.75,75.0,wrong_field
"Education: bachelor of science, bioinformatics, IIT Delhi, batch of 2023.",Bachelor of Science,Bachelor of Science,Bioinformatics,,review_needed,L2,0.8071,80.7,wrong_field
Graduate of Delhi University; qualification B  Sc (Bioinformatics).,Bachelor of Science,,Bioinformatics,Bioinformatics,review_needed,L3,0.35,35.0,wrong_degree
"Education: B  Sc, zoology, Delhi University, batch of 2024.",Bachelor of Science,,Zoology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing bachelor of science with specialization in botany at IIT Delhi.,Bachelor of Science,bachelor of science,Botany,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: BSC Hons, plantscience, University of Mumbai, batch of 2025.",Bachelor of Science,Bachelor of Science,Botany,,review_needed,L3,0.75,75.0,wrong_field
B.Sc. Hons - botany - Pune University - 2016,Bachelor of Science,Bachelor of Science,Botany,,resolved,L1,1.0,100,wrong_field
I completed my bachelor of science in Geology from IIT Delhi in 2023.,Bachelor of Science,Bachelor of Science,Geology,,review_needed,L2,0.8009,80.1,wrong_field
Riya holds a BSC Hons degree in earthscience.,Bachelor of Science,Bachelor of Science,Geology,,review_needed,L3,0.75,75.0,wrong_field
bsc hons - geology - Amity University - 2017,Bachelor of Science,Bachelor of Science,Geology,,resolved,L1,1.0,100,wrong_field
Currently pursuing BSC Hons with specialization in environmentalscience at University of Mumbai.,Bachelor of Science,Bachelor of Science,Environmental Science,,review_needed,L3,0.75,75.0,wrong_field
Graduate of Amity University; qualification bsc hons (envscience).,Bachelor of Science,Bachelor of Science,Environmental Science,,review_needed,L3,0.75,75.0,wrong_field
BSC - environmentalstudies - IIM Ahmedabad - 2018,Bachelor of Science,Bachelor of Science,Environmental Science,,resolved,L1,1.0,100,wrong_field
I completed my BSC Hons in computerscandengg from University of Mumbai in 2025.,Bachelor of Science,Bachelor of Science,Computer Science and Engineering,,review_needed,L3,0.75,75.0,wrong_field
"Education: bsc hons, csande, Amity University, batch of 2017.",Bachelor of Science,Bachelor of Science,Computer Science and Engineering,,review_needed,L3,0.75,75.0,wrong_field
Graduate of IIM Ahmedabad; qualification BSC (computerscienceandengineering).,Bachelor of Science,Bachelor of Science,Computer Science and Engineering,,review_needed,L3,0.75,75.0,wrong_field
Currently pursuing B.Sc. Hons with specialization in informationscience at Pune University.,Bachelor of Science,Bachelor of Science,Information Technology,,review_needed,L3,0.72,72.0,wrong_field
Graduate of Jadavpur University; qualification B. Sc (I.S.).,Bachelor of Science,,Information Technology,Information Technology,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Isha holds a BSC degree in bscnursing.,Bachelor of Science,Bachelor of Science,Nursing,,review_needed,L3,0.75,75.0,wrong_field
Graduate of VIT Vellore; qualification B. SC (nursing).,Bachelor of Science,,Nursing,Nursing,review_needed,L3,0.35,35.0,wrong_degree
"Education: B. SC, Agriculture, VIT Vellore, batch of 2020.",Bachelor of Science,,Agriculture,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I completed my b.c.a. in computerapplication from IIM Ahmedabad in 2018.,Bachelor of Computer Applications,Bachelor of Computer Applications,Computer Applications,,review_needed,L3,0.72,72.0,wrong_field
Currently pursuing B C A (Hons) with specialization in Computer Application at Jadavpur University.,Bachelor of Computer Applications,with specialization,Computer Applications,Computer Applications,review_needed,L3,0.62,62.0,wrong_degree
Aarav holds a B C A Hons degree in computerapplications.,Bachelor of Computer Applications,Bachelor of Computer Applications,Computer Applications,,review_needed,L3,0.72,72.0,wrong_field
"Education: b c a, Computer Applications, Manipal University, batch of 2021.",Bachelor of Computer Applications,,Computer Applications,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of IIT Delhi; qualification B C A  (Comp Applications).,Bachelor of Computer Applications,,Computer Applications,Computer Applications,review_needed,L3,0.35,35.0,wrong_degree
B.C.A. (Hons) - compapplications - Delhi University - 2023,Bachelor of Computer Applications,Bachelor of Computer Applications,Computer Applications,,resolved,L1,1.0,100,wrong_field
I completed my B.Com (Hons) Hons in businessstudies from Jadavpur University in 2019.,Bachelor of Commerce,Hons,Commerce,,review_needed,L3,0.62,62.0,wrong_degree_and_field
"Education: B Com (Hons), Business Studies, IIT Delhi, batch of 2022.",Bachelor of Commerce,,Commerce,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Delhi University; qualification B. Com (Hons) (businessstudies).,Bachelor of Commerce,,Commerce,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCom - Commerce - University of Mumbai - 2024,Bachelor of Commerce,Bachelor of Commerce,Commerce,,resolved,L1,1.0,100,wrong_field
Currently pursuing BCom (Hons) with specialization in costaccounting at Manipal University.,Bachelor of Commerce,Bachelor of Commerce,Accounting,,review_needed,L3,0.75,75.0,wrong_field
"Education: B. Com (Hons), Accounting, Delhi University, batch of 2023.",Bachelor of Commerce,,Accounting,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.Com(Hons) - accountancy - Anna University - 2025,Bachelor of Commerce,Bachelor of Commerce,Accounting,,resolved,L1,1.0,100,wrong_field
Currently pursuing B Com (Hons) with specialization in Financial Management at IIT Delhi.,Bachelor of Commerce,with specialization,Finance,Finance,review_needed,L3,0.62,62.0,wrong_degree
Kabir holds a B. Com (Hons) degree in financialmanagement.,Bachelor of Commerce,Bachelor of Commerce,Finance,,review_needed,L3,0.72,72.0,wrong_field
"Education: BCom, financeandaccounts, University of Mumbai, batch of 2024.",Bachelor of Commerce,Bachelor of Commerce,Finance,,review_needed,L3,0.75,75.0,wrong_field
Graduate of Anna University; qualification B.Com(Hons) (Finance & Accounts).,Bachelor of Commerce,,Finance,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.Com (Hons) - corporatefinance - Pune University - 2026,Bachelor of Commerce,Bachelor of Commerce,Finance,,resolved,L1,1.0,100,wrong_field
I completed my B Com (Hons) in Banking & Finance from IIT Delhi in 2022.,Bachelor of Commerce,,Banking and Finance,Banking and Finance,review_needed,L3,0.35,35.0,wrong_degree
