raw_string,canonical_name,normalized,source,confidence
B B A Hons,Bachelor of Business Administration,b b a,manual,1.0
B.B.A. Hons,Bachelor of Business Administration,bba,manual,1.0
BACHELOR OF ARTS,Bachelor of Arts,bachelor of arts,manual,1.0
B  A ,Bachelor of Arts,b  a,manual,1.0
ba,Bachelor of Arts,ba,manual,1.0
BA (Hons),Bachelor of Arts,ba,manual,1.0
BA Hons,Bachelor of Arts,ba,manual,1.0
bachelor of arts,Bachelor of Arts,bachelor of arts,manual,1.0
B. A. (Hons),Bachelor of Arts,b a,manual,1.0
B A ,Bachelor of Arts,b a,manual,1.0
BA,Bachelor of Arts,ba,manual,1.0
b.a.,Bachelor of Arts,ba,manual,1.0
BachelorofArts,Bachelor of Arts,bachelorofarts,manual,1.0
BA HONS,Bachelor of Arts,ba,manual,1.0
B. A.,Bachelor of Arts,b a,manual,1.0
Bachelor of Arts,Bachelor of Arts,bachelor of arts,manual,1.0
B.A. (Hons),Bachelor of Arts,ba,manual,1.0
b. a.,Bachelor of Arts,b a,manual,1.0
BA Hons Hons,Bachelor of Arts,ba,manual,1.0
BA Hons (Hons),Bachelor of Arts,ba,manual,1.0
Bachelor of Arts Hons,Bachelor of Arts,bachelor of arts,manual,1.0
B. A. Hons,Bachelor of Arts,b a,manual,1.0
B.A. Hons,Bachelor of Arts,ba,manual,1.0
ba hons,Bachelor of Arts,ba,manual,1.0
Bachelor of Arts (Hons),Bachelor of Arts,bachelor of arts,manual,1.0
B A,Bachelor of Arts,b a,manual,1.0
B.A.,Bachelor of Arts,ba,manual,1.0
BAHons,Bachelor of Arts,bahons,manual,1.0
BMBS (Hons),Bachelor of Medicine and Bachelor of Surgery,bmbs,manual,1.0
BMBS,Bachelor of Medicine and Bachelor of Surgery,bmbs,manual,1.0
M B B S Hons,Bachelor of Medicine and Bachelor of Surgery,m b b s,manual,1.0
bachelor of medicine and bachelor of surgery,Bachelor of Medicine and Bachelor of Surgery,bachelor of medicine and bachelor of surgery,manual,1.0
Bachelor of Medicine and Bachelor of Surgery,Bachelor of Medicine and Bachelor of Surgery,bachelor of medicine and bachelor of surgery,manual,1.0
MBBS Hons,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
M.B.B.S. Hons,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
M.B.B.S. (Hons),Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
M.B.B.S.,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
Bachelor of Medicine and Bachelor of Surgery (Hons),Bachelor of Medicine and Bachelor of Surgery,bachelor of medicine and bachelor of surgery,manual,1.0
m.b.b.s.,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
MB ChB (Hons),Bachelor of Medicine and Bachelor of Surgery,mb chb,manual,1.0
BachelorofMedicineandBachelorofSurgery,Bachelor of Medicine and Bachelor of Surgery,bachelorofmedicineandbachelorofsurgery,manual,1.0
Bachelor of Medicine and Bachelor of Surgery Hons,Bachelor of Medicine and Bachelor of Surgery,bachelor of medicine and bachelor of surgery,manual,1.0
MB ChB,Bachelor of Medicine and Bachelor of Surgery,mb chb,manual,1.0
mbbs,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
M B B S (Hons),Bachelor of Medicine and Bachelor of Surgery,m b b s,manual,1.0
MB ChB Hons,Bachelor of Medicine and Bachelor of Surgery,mb chb,manual,1.0
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,Bachelor of Medicine and Bachelor of Surgery,bachelor of medicine and bachelor of surgery,manual,1.0
MB CHB,Bachelor of Medicine and Bachelor of Surgery,mb chb,manual,1.0
MBChB,Bachelor of Medicine and Bachelor of Surgery,mbchb,manual,1.0
bmbs,Bachelor of Medicine and Bachelor of Surgery,bmbs,manual,1.0
BMBS Hons,Bachelor of Medicine and Bachelor of Surgery,bmbs,manual,1.0
mb chb,Bachelor of Medicine and Bachelor of Surgery,mb chb,manual,1.0
MBBS (Hons),Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
M B B S ,Bachelor of Medicine and Bachelor of Surgery,m b b s,manual,1.0
MBBS,Bachelor of Medicine and Bachelor of Surgery,mbbs,manual,1.0
m b b s,Bachelor of Medicine and Bachelor of Surgery,m b b s,manual,1.0
M B B S,Bachelor of Medicine and Bachelor of Surgery,m b b s,manual,1.0
Bachelor of Dental Surgery (Hons),Bachelor of Dental Surgery,bachelor of dental surgery,manual,1.0
Bachelor of Dental Surgery Hons,Bachelor of Dental Surgery,bachelor of dental surgery,manual,1.0
BDS,Bachelor of Dental Surgery,bds,manual,1.0
BachelorofDentalSurgery,Bachelor of Dental Surgery,bachelorofdentalsurgery,manual,1.0
B.D.S. Hons,Bachelor of Dental Surgery,bds,manual,1.0
b.d.s.,Bachelor of Dental Surgery,bds,manual,1.0
Bachelor of Dental Surgery,Bachelor of Dental Surgery,bachelor of dental surgery,manual,1.0
B.D.S. (Hons),Bachelor of Dental Surgery,bds,manual,1.0
bachelor of dental surgery,Bachelor of Dental Surgery,bachelor of dental surgery,manual,1.0
BACHELOR OF DENTAL SURGERY,Bachelor of Dental Surgery,bachelor of dental surgery,manual,1.0
B.D.S.,Bachelor of Dental Surgery,bds,manual,1.0
bds,Bachelor of Dental Surgery,bds,manual,1.0
BDS (Hons),Bachelor of Dental Surgery,bds,manual,1.0
B D S ,Bachelor of Dental Surgery,b d s,manual,1.0
BDS Hons,Bachelor of Dental Surgery,bds,manual,1.0
B Pharm,Bachelor of Pharmacy,b pharm,manual,1.0
BACHELOR OF PHARMACY,Bachelor of Pharmacy,bachelor of pharmacy,manual,1.0
b. pharma,Bachelor of Pharmacy,b pharma,manual,1.0
B.Pharm Hons,Bachelor of Pharmacy,bpharm,manual,1.0
Bachelor of Pharmacy Hons,Bachelor of Pharmacy,bachelor of pharmacy,manual,1.0
BPharm,Bachelor of Pharmacy,bpharm,manual,1.0
B. PHARMA,Bachelor of Pharmacy,b pharma,manual,1.0
BPharm Hons,Bachelor of Pharmacy,bpharm,manual,1.0
B.Pharm,Bachelor of Pharmacy,bpharm,manual,1.0
B  Pharma,Bachelor of Pharmacy,b  pharma,manual,1.0
BPHARM,Bachelor of Pharmacy,bpharm,manual,1.0
bachelor of pharmacy,Bachelor of Pharmacy,bachelor of pharmacy,manual,1.0
B. Pharma Hons,Bachelor of Pharmacy,b pharma,manual,1.0
B PHARMA,Bachelor of Pharmacy,b pharma,manual,1.0
B Pharma,Bachelor of Pharmacy,b pharma,manual,1.0
B.PHARM,Bachelor of Pharmacy,bpharm,manual,1.0
B Pharma (Hons),Bachelor of Pharmacy,b pharma,manual,1.0
B.Pharm (Hons),Bachelor of Pharmacy,bpharm,manual,1.0
b pharma,Bachelor of Pharmacy,b pharma,manual,1.0
b.pharm,Bachelor of Pharmacy,bpharm,manual,1.0
BPharma,Bachelor of Pharmacy,bpharma,manual,1.0
B Pharma Hons,Bachelor of Pharmacy,b pharma,manual,1.0
B. Pharma (Hons),Bachelor of Pharmacy,b pharma,manual,1.0
Bachelor of Pharmacy (Hons),Bachelor of Pharmacy,bachelor of pharmacy,manual,1.0
bpharm,Bachelor of Pharmacy,bpharm,manual,1.0
BachelorofPharmacy,Bachelor of Pharmacy,bachelorofpharmacy,manual,1.0
Bachelor of Pharmacy,Bachelor of Pharmacy,bachelor of pharmacy,manual,1.0
B. Pharma,Bachelor of Pharmacy,b pharma,manual,1.0
B.Pharma,Bachelor of Pharmacy,bpharma,manual,1.0
BPharm (Hons),Bachelor of Pharmacy,bpharm,manual,1.0
MTECH,Master of Technology,mtech,manual,1.0
M.Tech (Hons),Master of Technology,mtech,manual,1.0
M. Tech Hons,Master of Technology,m tech,manual,1.0
MTech,Master of Technology,mtech,manual,1.0
Master of Technology,Master of Technology,master of technology,manual,1.0
MTECH (Hons),Master of Technology,mtech,manual,1.0
m.tech,Master of Technology,mtech,manual,1.0
MTech (Hons),Master of Technology,mtech,manual,1.0
Master of Technology Hons,Master of Technology,master of technology,manual,1.0
M  Tech,Master of Technology,m  tech,manual,1.0
M.TECH,Master of Technology,mtech,manual,1.0
M.Tech Hons,Master of Technology,mtech,manual,1.0
m. tech,Master of Technology,m tech,manual,1.0
M. TECH,Master of Technology,m tech,manual,1.0
mtech,Master of Technology,mtech,manual,1.0
M Tech,Master of Technology,m tech,manual,1.0
M.Tech,Master of Technology,mtech,manual,1.0
M. Tech (Hons),Master of Technology,m tech,manual,1.0
MASTER OF TECHNOLOGY,Master of Technology,master of technology,manual,1.0
Master of Technology (Hons),Master of Technology,master of technology,manual,1.0
MTECH Hons,Master of Technology,mtech,manual,1.0
MasterofTechnology,Master of Technology,masteroftechnology,manual,1.0
master of technology,Master of Technology,master of technology,manual,1.0
M. Tech,Master of Technology,m tech,manual,1.0
MTech Hons,Master of Technology,mtech,manual,1.0
Master of Engineering Hons,Master of Engineering,master of engineering,manual,1.0
MEng Hons,Master of Engineering,meng,manual,1.0
MASTER OF ENGINEERING,Master of Engineering,master of engineering,manual,1.0
M.E. Hons,Master of Engineering,me,manual,1.0
master of engineering,Master of Engineering,master of engineering,manual,1.0
M.E.,Master of Engineering,me,manual,1.0
MEng,Master of Engineering,meng,manual,1.0
MasterofEngineering,Master of Engineering,masterofengineering,manual,1.0
Master of Engineering,Master of Engineering,master of engineering,manual,1.0
MEng (Hons),Master of Engineering,meng,manual,1.0
M E ,Master of Engineering,m e,manual,1.0
MENG,Master of Engineering,meng,manual,1.0
m.e.,Master of Engineering,me,manual,1.0
M.Eng,Master of Engineering,meng,manual,1.0
M.ENG,Master of Engineering,meng,manual,1.0
ME,Master of Engineering,me,manual,1.0
me,Master of Engineering,me,manual,1.0
Master of Engineering (Hons),Master of Engineering,master of engineering,manual,1.0
m.eng,Master of Engineering,meng,manual,1.0
M.Eng Hons,Master of Engineering,meng,manual,1.0
M.Eng (Hons),Master of Engineering,meng,manual,1.0
ME (Hons),Master of Engineering,me,manual,1.0
M.E. (Hons),Master of Engineering,me,manual,1.0
meng,Master of Engineering,meng,manual,1.0
ME Hons,Master of Engineering,me,manual,1.0
M Eng,Master of Engineering,m eng,manual,1.0
MSC (Hons),Master of Science,msc,manual,1.0
MS Hons,Master of Science,ms,manual,1.0
MASTER OF SCIENCE,Master of Science,master of science,manual,1.0
M. SC,Master of Science,m sc,manual,1.0
msc,Master of Science,msc,manual,1.0
m.sc,Master of Science,msc,manual,1.0
m. sc,Master of Science,m sc,manual,1.0
Master of Science,Master of Science,master of science,manual,1.0
MS,Master of Science,ms,manual,1.0
M.S.,Master of Science,ms,manual,1.0
M.Sc,Master of Science,msc,manual,1.0
MasterofScience,Master of Science,masterofscience,manual,1.0
MSC,Master of Science,msc,manual,1.0
Master of Science Hons,Master of Science,master of science,manual,1.0
M. Sc Hons,Master of Science,m sc,manual,1.0
Master of Science (Hons),Master of Science,master of science,manual,1.0
master of science,Master of Science,master of science,manual,1.0
M.Sc (Hons),Master of Science,msc,manual,1.0
M.SC,Master of Science,msc,manual,1.0
MSc Hons,Master of Science,msc,manual,1.0
M. Sc,Master of Science,m sc,manual,1.0
M Sc,Master of Science,m sc,manual,1.0
M.Sc Hons,Master of Science,msc,manual,1.0
MS (Hons),Master of Science,ms,manual,1.0
m.s.,Master of Science,ms,manual,1.0
MSc (Hons),Master of Science,msc,manual,1.0
M  Sc,Master of Science,m  sc,manual,1.0
MSc,Master of Science,msc,manual,1.0
M S ,Master of Science,m s,manual,1.0
M. Sc (Hons),Master of Science,m sc,manual,1.0
M.S. Hons,Master of Science,ms,manual,1.0
M.S. (Hons),Master of Science,ms,manual,1.0
ms,Master of Science,ms,manual,1.0
MSC Hons,Master of Science,msc,manual,1.0
M.C.A. Hons,Master of Computer Applications,mca,manual,1.0
master of computer applications,Master of Computer Applications,master of computer applications,manual,1.0
Master of Computer Applications,Master of Computer Applications,master of computer applications,manual,1.0
m c a,Master of Computer Applications,m c a,manual,1.0
MCA,Master of Computer Applications,mca,manual,1.0
MasterofComputerApplications,Master of Computer Applications,masterofcomputerapplications,manual,1.0
Master of Computer Applications (Hons),Master of Computer Applications,master of computer applications,manual,1.0
MCA (Hons),Master of Computer Applications,mca,manual,1.0
MCA Hons,Master of Computer Applications,mca,manual,1.0
m.c.a.,Master of Computer Applications,mca,manual,1.0
M C A ,Master of Computer Applications,m c a,manual,1.0
M C A (Hons),Master of Computer Applications,m c a,manual,1.0
M.C.A.,Master of Computer Applications,mca,manual,1.0
Master of Computer Applications Hons,Master of Computer Applications,master of computer applications,manual,1.0
M C A,Master of Computer Applications,m c a,manual,1.0
M C A Hons,Master of Computer Applications,m c a,manual,1.0
mca,Master of Computer Applications,mca,manual,1.0
M.C.A. (Hons),Master of Computer Applications,mca,manual,1.0
MASTER OF COMPUTER APPLICATIONS,Master of Computer Applications,master of computer applications,manual,1.0
EMBA Hons,Master of Business Administration,emba,manual,1.0
M.B.A. Hons,Master of Business Administration,mba,manual,1.0
EMBA (Hons),Master of Business Administration,emba,manual,1.0
EMBA,Master of Business Administration,emba,manual,1.0
emba,Master of Business Administration,emba,manual,1.0
MBA (Hons),Master of Business Administration,mba,manual,1.0
MASTER OF BUSINESS ADMINISTRATION,Master of Business Administration,master of business administration,manual,1.0
M B A ,Master of Business Administration,m b a,manual,1.0
M.B.A.,Master of Business Administration,mba,manual,1.0
MBA Hons,Master of Business Administration,mba,manual,1.0
M.B.A. (Hons),Master of Business Administration,mba,manual,1.0
MBA,Master of Business Administration,mba,manual,1.0
MasterofBusinessAdministration,Master of Business Administration,masterofbusinessadministration,manual,1.0
Master of Business Administration (Hons),Master of Business Administration,master of business administration,manual,1.0
m.b.a.,Master of Business Administration,mba,manual,1.0
master of business administration,Master of Business Administration,master of business administration,manual,1.0
Master of Business Administration,Master of Business Administration,master of business administration,manual,1.0
Master of Business Administration Hons,Master of Business Administration,master of business administration,manual,1.0
mba,Master of Business Administration,mba,manual,1.0
Master of Commerce,Master of Commerce,master of commerce,manual,1.0
M  Com,Master of Commerce,m  com,manual,1.0
M. Com (Hons),Master of Commerce,m com,manual,1.0
M. Com,Master of Commerce,m com,manual,1.0
M. COM,Master of Commerce,m com,manual,1.0
MCOM,Master of Commerce,mcom,manual,1.0
MCom,Master of Commerce,mcom,manual,1.0
M.Com Hons,Master of Commerce,mcom,manual,1.0
m. com,Master of Commerce,m com,manual,1.0
m.com,Master of Commerce,mcom,manual,1.0
Master of Commerce (Hons),Master of Commerce,master of commerce,manual,1.0
Master of Commerce Hons,Master of Commerce,master of commerce,manual,1.0
M Com,Master of Commerce,m com,manual,1.0
MASTER OF COMMERCE,Master of Commerce,master of commerce,manual,1.0
MasterofCommerce,Master of Commerce,masterofcommerce,manual,1.0
MCom (Hons),Master of Commerce,mcom,manual,1.0
mcom,Master of Commerce,mcom,manual,1.0
master of commerce,Master of Commerce,master of commerce,manual,1.0
M. Com Hons,Master of Commerce,m com,manual,1.0
M.Com (Hons),Master of Commerce,mcom,manual,1.0
M.COM,Master of Commerce,mcom,manual,1.0
MCom Hons,Master of Commerce,mcom,manual,1.0
M.Com,Master of Commerce,mcom,manual,1.0
MASTER OF ARTS,Master of Arts,master of arts,manual,1.0
M.A. Hons,Master of Arts,ma,manual,1.0
M. A.,Master of Arts,m a,manual,1.0
