expected_label,predicted_label,count,is_correct
Doctor of Business Administration,Bachelor of Arts,4,False
Doctor of Business Administration,Bachelor of Business Administration,4,False
Doctor of Business Administration,Bachelor of Computer Applications,4,False
Master of Computer Applications,Bachelor of Computer Applications,4,False
Master of Philosophy,Master of Science,4,False
Master of Research,Master of Engineering,4,False
Bachelor of Commerce,Bachelor of Computer Applications,3,False
Bachelor of Engineering,Bachelor of Science,2,False
Bachelor of Laws,Bachelor of Commerce,2,False
Master of Commerce,Master of Computer Applications,2,False
Master of Commerce,Master of Science,2,False
Master of Technology,Bachelor of Computer Applications,2,False
Bachelor of Commerce,Bachelor of Science,1,False
Bachelor of Engineering,Bachelor of Engineering,517,True
Bachelor of Technology,Bachelor of Technology,466,True
Post Graduate Diploma,Post Graduate Diploma,409,True
Doctor of Philosophy,Doctor of Philosophy,334,True
12th Standard,12th Standard,278,True
Bachelor of Arts,Bachelor of Arts,273,True
Bachelor of Science,Bachelor of Science,272,True
10th Standard,10th Standard,228,True
Bachelor of Commerce,Bachelor of Commerce,228,True
Master of Engineering,Master of Engineering,206,True
Master of Business Administration,Master of Business Administration,192,True
Master of Science,Master of Science,192,True
Diploma in Engineering,Diploma in Engineering,177,True
Bachelor of Computer Applications,Bachelor of Computer Applications,173,True
Bachelor of Business Administration,Bachelor of Business Administration,162,True
Master of Commerce,Master of Commerce,159,True
Master of Technology,Master of Technology,159,True
Master of Computer Applications,Master of Computer Applications,152,True
Master of Arts,Master of Arts,145,True
Bachelor of Laws,Bachelor of Laws,27,True
Master of Laws,Master of Laws,20,True
