raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
"BSc Hns, Commerce",Bachelor of Business Administration,Bachelor of Science,Commerce,Commerce,review_needed,L2,0.8571,85.7,wrong_degree
"BcS Hons, Commerce",Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Bachelor of Business Administration (Fin,Bachelor of Business Administration,Bachelor of Business Administration,Finance,,fuzzy_matched,L2,0.9811,98.1,wrong_field
B.cS. (Business Administration),Bachelor of Business Administration,,Business Administration,Business Administration,review_needed,L3,0.35,35.0,wrong_degree
B.Sc. (Business Adminis,Bachelor of Business Administration,Bachelor of Business Administration,Business Administration,,review_needed,L2,0.8511,85.1,wrong_field
BCS (Business Administration),Bachelor of Business Administration,,Business Administration,Business Administration,review_needed,L3,0.35,35.0,wrong_degree
BSC (Business Adminis,Bachelor of Business Administration,Bachelor of Business Administration,Business Administration,,review_needed,L2,0.8511,85.1,wrong_field
B.cS / Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS (Human Resources Management),Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
B.Sc (Human Resources Manag,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9091,90.9,wrong_field
BcS - Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS (Human Resources Management),Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
BSC (Human Resources Manag,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9091,90.9,wrong_field
"B.cS, Business Administration",Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BcS / Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BSc Hns, Accounting",Bachelor of Business Administration,Bachelor of Science,Accounting,Accounting,review_needed,L2,0.8571,85.7,wrong_degree
"BcS Hons, Accounting",Bachelor of Business Administration,,Accounting,Accounting,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. cS (International Business),Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.75,75.0,wrong_degree
B. Sc (International Busi,Bachelor of Business Administration,Bachelor of Business Administration,International Business,,fuzzy_matched,L2,0.92,92.0,wrong_field
"BCS, International Business",Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BSc Hns, Business Administration",Bachelor of Business Administration,Bachelor of Science,Business Administration,Business Administration,review_needed,L2,0.8571,85.7,wrong_degree
"BcS Hons, Business Administration",Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS / Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSC n Human Resources Management,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9887,98.9,wrong_field
BCS in Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
"BcS, Operations Management",Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BcS - Marketing,Bachelor of Business Administration,,Marketing,Marketing,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. cS (Commerce),Bachelor of Business Administration,Bachelor of Science,Commerce,Commerce,review_needed,L2,0.75,75.0,wrong_degree
B. Sc (Comm,Bachelor of Business Administration,Bachelor of Science,Commerce,,review_needed,L2,0.8654,86.5,wrong_degree_and_field
B.cS (Business Administration),Bachelor of Business Administration,,Business Administration,Business Administration,review_needed,L3,0.35,35.0,wrong_degree
B.Sc (Business Adminis,Bachelor of Business Administration,Bachelor of Business Administration,Business Administration,,review_needed,L2,0.8511,85.1,wrong_field
B.cS - International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS. - Accounting,Bachelor of Business Administration,,Accounting,Accounting,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.B.A. oHns,Bachelor of Business Administration,Bachelor of Arts,,,review_needed,L2,0.7143,71.4,wrong_degree
B.Sc n Business Administration,Bachelor of Business Administration,Bachelor of Business Administration,Business Administration,,fuzzy_matched,L2,0.9875,98.8,wrong_field
B.cS in Business Administration,Bachelor of Business Administration,B.cS in Business Administration,Business Administration,Business Administration,review_needed,L3,0.62,62.0,wrong_degree
BcS - Operations Management,Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS - International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. cS (Entrepreneurship),Bachelor of Business Administration,Bachelor of Science,Entrepreneurship,Entrepreneurship,review_needed,L2,0.75,75.0,wrong_degree
B. Sc (Entrepre,Bachelor of Business Administration,Bachelor of Business Administration,Entrepreneurship,,review_needed,L2,0.7647,76.5,wrong_field
B.cS (Banking and Finance),Bachelor of Business Administration,,Banking and Finance,Banking and Finance,review_needed,L3,0.35,35.0,wrong_degree
B.Sc (Banking and Fina,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9302,93.0,wrong_field
Bachelor of Business Administration (International Busi,Bachelor of Business Administration,Bachelor of Business Administration,International Business,,fuzzy_matched,L2,0.9875,98.8,wrong_field
BSc Hns - International Business,Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons - International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS / Entrepreneurship,Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"B. cS, International Business",Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.75,75.0,wrong_degree
BSc Hns - Operations Management,Bachelor of Business Administration,Bachelor of Science,Operations Management,Operations Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons - Operations Management,Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"B.cS., Human Resources Management",Bachelor of Business Administration,,Human Resources Management,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Bachelor of Business Administration (Comm,Bachelor of Business Administration,Bachelor of Business Administration,Commerce,,fuzzy_matched,L2,0.9767,97.7,wrong_field
Bachelor of Business Administration (Entrepre,Bachelor of Business Administration,Bachelor of Business Administration,Entrepreneurship,,fuzzy_matched,L2,0.9601,96.0,wrong_field
BcS - Banking and Finance,Bachelor of Business Administration,,Banking and Finance,Banking and Finance,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. cS / International Business,Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.75,75.0,wrong_degree
"B.cS., Business Administration",Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc Hns in Banking and Finance,Bachelor of Business Administration,Bachelor of Science,Banking and Finance,Banking and Finance,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons in Banking and Finance,Bachelor of Business Administration,BcS Hons in Banking and Finance,Banking and Finance,Banking and Finance,review_needed,L3,0.62,62.0,wrong_degree
B.cS. / International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS - Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS / Banking and Finance,Bachelor of Business Administration,,Banking and Finance,Banking and Finance,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc n Banking and Finance,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9854,98.5,wrong_field
BcS in Banking and Finance,Bachelor of Business Administration,BcS in Banking and Finance,Banking and Finance,Banking and Finance,review_needed,L3,0.62,62.0,wrong_degree
B.cS (Entrepreneurship),Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,review_needed,L3,0.35,35.0,wrong_degree
B.Sc (Entrepre,Bachelor of Business Administration,Bachelor of Business Administration,Entrepreneurship,,review_needed,L2,0.75,75.0,wrong_field
B.cS / Commerce,Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS - Marketing,Bachelor of Business Administration,,Marketing,Marketing,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc n Marketing,Bachelor of Business Administration,Bachelor of Business Administration,Marketing,,fuzzy_matched,L2,0.975,97.5,wrong_field
BcS in Marketing,Bachelor of Business Administration,BcS in Marketing,Marketing,Marketing,review_needed,L3,0.62,62.0,wrong_degree
"BcS, Marketing",Bachelor of Business Administration,,Marketing,Marketing,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS (Marketing),Bachelor of Business Administration,,Marketing,Marketing,review_needed,L3,0.35,35.0,wrong_degree
B.Sc (Mark,Bachelor of Business Administration,Bachelor of Science,Marketing,,review_needed,L2,0.8409,84.1,wrong_degree_and_field
BSc Hns (Human Resources Management),Bachelor of Business Administration,Bachelor of Science,Human Resources Management,Human Resources Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Human Resources Management),Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
BSc Hons (Human Resources Manag,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9091,90.9,wrong_field
B.Sc. n Banking and Finance,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9854,98.5,wrong_field
B.cS. in Banking and Finance,Bachelor of Business Administration,B.cS. in Banking and Finance,Banking and Finance,Banking and Finance,review_needed,L3,0.62,62.0,wrong_degree
BSc Hns / Operations Management,Bachelor of Business Administration,Bachelor of Science,Operations Management,Operations Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons / Operations Management,Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc n Human Resources Management,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9887,98.9,wrong_field
BcS in Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
"BCS, Marketing",Bachelor of Business Administration,,Marketing,Marketing,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS - Finance,Bachelor of Business Administration,,Finance,Finance,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Bachlor of Business Administration (Human Resources Management),Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9855,98.6,wrong_field
Bcahelor of Business Administration (Human Resources Management),Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9714,97.1,wrong_field
Bache1or of Business Administration (Human Resources Management),Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9714,97.1,wrong_field
Bachelor of Business Administration (Human Resources Manag,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.958,95.8,wrong_field
B.cS / International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS (Finance),Bachelor of Business Administration,,Finance,Finance,review_needed,L3,0.35,35.0,wrong_degree
BSC (Fin,Bachelor of Business Administration,Bachelor of Science,Finance,,review_needed,L2,0.86,86.0,wrong_degree_and_field
B. Sc n Commerce,Bachelor of Business Administration,Bachelor of Business Administration,Commerce,,fuzzy_matched,L2,0.975,97.5,wrong_field
B. cS in Commerce,Bachelor of Business Administration,Bachelor of Science,Commerce,Commerce,review_needed,L2,0.75,75.0,wrong_degree
"BCS, Business Administration",Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.Sc n Operations Management,Bachelor of Business Administration,Bachelor of Business Administration,Operations Management,,fuzzy_matched,L2,0.9865,98.7,wrong_field
B.cS in Operations Management,Bachelor of Business Administration,B.cS in Operations Management,Operations Management,Operations Management,review_needed,L3,0.62,62.0,wrong_degree
BCS / Commerce,Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc Hns (Operations Management),Bachelor of Business Administration,Bachelor of Science,Operations Management,Operations Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Operations Management),Bachelor of Business Administration,,Operations Management,Operations Management,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (Operations Manag,Bachelor of Business Administration,Bachelor of Business Administration,Operations Management,,fuzzy_matched,L2,0.8889,88.9,wrong_field
B.cS. (Accounting),Bachelor of Business Administration,,Accounting,Accounting,review_needed,L3,0.35,35.0,wrong_degree
B.Sc. (Accou,Bachelor of Business Administration,Bachelor of Science,Accounting,,review_needed,L2,0.825,82.5,wrong_degree_and_field
B.cS. / Entrepreneurship,Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"B. cS, Banking and Finance",Bachelor of Business Administration,Bachelor of Science,Banking and Finance,Banking and Finance,review_needed,L2,0.75,75.0,wrong_degree
BSc Hns in Human Resources Management,Bachelor of Business Administration,Bachelor of Science,Human Resources Management,Human Resources Management,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons in Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
B.cS. - Commerce,Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BcS, Business Administration",Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS / Operations Management,Bachelor of Business Administration,,Operations Management,Operations Management,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BAB Hons,Bachelor of Business Administration,Bachelor of Arts,,,review_needed,L2,0.8,80.0,wrong_degree
BachelorofBusine,Bachelor of Business Administration,Bachelor of Science,,,review_needed,L2,0.8485,84.8,wrong_degree
"B.cS., Marketing",Bachelor of Business Administration,,Marketing,Marketing,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSC n Finance,Bachelor of Business Administration,Bachelor of Business Administration,Finance,,fuzzy_matched,L2,0.9708,97.1,wrong_field
BCS in Finance,Bachelor of Business Administration,BCS in Finance,Finance,Finance,review_needed,L3,0.62,62.0,wrong_degree
BcS (Operations Management),Bachelor of Business Administration,,Operations Management,Operations Management,review_needed,L3,0.35,35.0,wrong_degree
BSc (Operations Manag,Bachelor of Business Administration,Bachelor of Business Administration,Operations Management,,fuzzy_matched,L2,0.8889,88.9,wrong_field
B.Sc. n Human Resources Management,Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9887,98.9,wrong_field
B.cS. in Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,review_needed,L3,0.35,35.0,wrong_degree_and_field
B. cS - Finance,Bachelor of Business Administration,Bachelor of Science,Finance,Finance,review_needed,L2,0.75,75.0,wrong_degree
"B.cS., Banking and Finance",Bachelor of Business Administration,,Banking and Finance,Banking and Finance,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BCS, Commerce",Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"Bachlor of Business Administration, Human Resources Management",Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9855,98.6,wrong_field
"Bcahelor of Business Administration, Human Resources Management",Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9714,97.1,wrong_field
"Bache1or of Business Administration, Human Resources Management",Bachelor of Business Administration,Bachelor of Business Administration,Human Resources Management,,fuzzy_matched,L2,0.9714,97.1,wrong_field
BcS (Entrepreneurship),Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,review_needed,L3,0.35,35.0,wrong_degree
BSc (Entrepre,Bachelor of Business Administration,Bachelor of Business Administration,Entrepreneurship,,review_needed,L2,0.75,75.0,wrong_field
B.cS - Entrepreneurship,Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.cS - Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc Hns (International Business),Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (International Business),Bachelor of Business Administration,,International Business,International Business,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (International Busi,Bachelor of Business Administration,Bachelor of Business Administration,International Business,,fuzzy_matched,L2,0.9167,91.7,wrong_field
BcS - Commerce,Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BcS, Accounting",Bachelor of Business Administration,,Accounting,Accounting,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BCS (Accounting),Bachelor of Business Administration,,Accounting,Accounting,review_needed,L3,0.35,35.0,wrong_degree
BSC (Accou,Bachelor of Business Administration,Bachelor of Science,Accounting,,review_needed,L2,0.825,82.5,wrong_degree_and_field
"B.cS., Commerce",Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B. Sc n International Business,Bachelor of Business Administration,Bachelor of Business Administration,International Business,,fuzzy_matched,L2,0.9875,98.8,wrong_field
B. cS in International Business,Bachelor of Business Administration,Bachelor of Science,International Business,International Business,review_needed,L2,0.75,75.0,wrong_degree
BSc Hns in Business Administration,Bachelor of Business Administration,Bachelor of Science,Business Administration,Business Administration,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons in Business Administration,Bachelor of Business Administration,,Business Administration,Business Administration,review_needed,L3,0.35,35.0,wrong_degree
BSc Hns (Finance),Bachelor of Business Administration,Bachelor of Science,Finance,Finance,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Finance),Bachelor of Business Administration,,Finance,Finance,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (Fin,Bachelor of Business Administration,Bachelor of Science,Finance,,review_needed,L2,0.86,86.0,wrong_degree_and_field
B.Sc n Banking and Finance,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9854,98.5,wrong_field
B.cS in Banking and Finance,Bachelor of Business Administration,B.cS in Banking and Finance,Banking and Finance,Banking and Finance,review_needed,L3,0.62,62.0,wrong_degree
BSc Hns (Banking and Finance),Bachelor of Business Administration,Bachelor of Science,Banking and Finance,Banking and Finance,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Banking and Finance),Bachelor of Business Administration,,Banking and Finance,Banking and Finance,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (Banking and Fina,Bachelor of Business Administration,Bachelor of Business Administration,Banking and Finance,,fuzzy_matched,L2,0.9302,93.0,wrong_field
BSC n Accounting,Bachelor of Business Administration,Bachelor of Business Administration,Accounting,,fuzzy_matched,L2,0.9767,97.7,wrong_field
BCS in Accounting,Bachelor of Business Administration,BCS in Accounting,Accounting,Accounting,review_needed,L3,0.62,62.0,wrong_degree
BSc Hns / Entrepreneurship,Bachelor of Business Administration,Bachelor of Science,Entrepreneurship,Entrepreneurship,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons / Entrepreneurship,Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"BSc Hns, Entrepreneurship",Bachelor of Business Administration,Bachelor of Science,Entrepreneurship,Entrepreneurship,review_needed,L2,0.8571,85.7,wrong_degree
"BcS Hons, Entrepreneurship",Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BcS / Human Resources Management,Bachelor of Business Administration,,Human Resources Management,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.Sc. n Operations Management,Bachelor of Business Administration,Bachelor of Business Administration,Operations Management,,fuzzy_matched,L2,0.9865,98.7,wrong_field
B.cS. in Operations Management,Bachelor of Business Administration,B.cS. in Operations Management,Operations Management,Operations Management,review_needed,L3,0.62,62.0,wrong_degree
B.cS (Finance),Bachelor of Business Administration,,Finance,Finance,review_needed,L3,0.35,35.0,wrong_degree
B.Sc (Fin,Bachelor of Business Administration,Bachelor of Science,Finance,,review_needed,L2,0.86,86.0,wrong_degree_and_field
BSc Hns (Entrepreneurship),Bachelor of Business Administration,Bachelor of Science,Entrepreneurship,Entrepreneurship,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Entrepreneurship),Bachelor of Business Administration,,Entrepreneurship,Entrepreneurship,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (Entrepre,Bachelor of Business Administration,Bachelor of Business Administration,Entrepreneurship,,review_needed,L2,0.75,75.0,wrong_field
BcS / Commerce,Bachelor of Business Administration,,Commerce,Commerce,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
BSc Hns in Commerce,Bachelor of Business Administration,Bachelor of Science,Commerce,Commerce,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons in Commerce,Bachelor of Business Administration,BcS Hons in Commerce,Commerce,Commerce,review_needed,L3,0.62,62.0,wrong_degree
BSc Hns (Accounting),Bachelor of Business Administration,Bachelor of Science,Accounting,Accounting,review_needed,L2,0.8571,85.7,wrong_degree
BcS Hons (Accounting),Bachelor of Business Administration,,Accounting,Accounting,review_needed,L3,0.35,35.0,wrong_degree
BSc Hons (Accou,Bachelor of Business Administration,Bachelor of Science,Accounting,,review_needed,L2,0.825,82.5,wrong_degree_and_field
"B. cS, Accounting",Bachelor of Business Administration,Bachelor of Science,Accounting,Accounting,review_needed,L2,0.75,75.0,wrong_degree
BcS / International Business,Bachelor of Business Administration,,International Business,International Business,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
B.Sc. n International Business,Bachelor of Business Administration,Bachelor of Business Administration,International Business,,fuzzy_matched,L2,0.987,98.7,wrong_field
B.cS. in International Business,Bachelor of Business Administration,B.cS. in International Business,International Business,International Business,review_needed,L3,0.62,62.0,wrong_degree
"BSc Hns, Marketing",Bachelor of Business Administration,Bachelor of Science,Marketing,Marketing,review_needed,L2,0.8571,85.7,wrong_degree
