expected_label,predicted_label,count,is_correct
Bachelor of Business Administration,Bachelor of Business Administration,202,True
Master of Engineering,Master of Engineering,193,True
Master of Business Administration,Master of Business Administration,184,True
Diploma in Engineering,Diploma in Engineering,177,True
Bachelor of Computer Applications,Bachelor of Computer Applications,173,True
Master of Commerce,Master of Commerce,159,True
Master of Technology,Master of Technology,159,True
Master of Computer Applications,Master of Computer Applications,152,True
Master of Arts,Master of Arts,144,True
Bachelor of Architecture,Bachelor of Architecture,25,True
