raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
India X qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X qualification,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian matric qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India matric qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
ssc qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian ssc,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian ssc qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian ssc (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian ssc (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian ssc (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India ssc,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India ssc qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India ssc (India),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India ssc (IN),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India ssc (school qualification),10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN ssc qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
S S C,10th Standard,Secondary (Class X),,,review_needed,L3,0.8,80.0,wrong_degree
S S C qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
S S C (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
S S C (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
S S C (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian S S C,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian S S C qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian S S C (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian S S C (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian S S C (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India S S C,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India S S C qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India S S C (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India S S C (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India S S C (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN S S C,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN S S C qualification,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN S S C (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN S S C (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN S S C (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian Matric Hons qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India Matric Hons qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian MATRICHONS,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian MATRICHONS qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian MATRICHONS (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian MATRICHONS (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian MATRICHONS (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India MATRICHONS,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India MATRICHONS qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India MATRICHONS (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India MATRICHONS (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India MATRICHONS (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
10th Standard (Hons) qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
Indian 10th Standard (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India 10th Standard (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN 10th Standard (Hons) qualification,10th Standard,12th Standard,,,review_needed,L2,0.7052,70.5,wrong_degree
SSCHONS,10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
SSCHONS qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
SSCHONS (India),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
SSCHONS (IN),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
SSCHONS (school qualification),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
Indian SSCHONS,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian SSCHONS qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian SSCHONS (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian SSCHONS (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian SSCHONS (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India SSCHONS,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India SSCHONS qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India SSCHONS (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India SSCHONS (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India SSCHONS (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN SSCHONS,10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
IN SSCHONS qualification,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN SSCHONS (India),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
IN SSCHONS (IN),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
IN SSCHONS (school qualification),10th Standard,Bachelor of Science,,,review_needed,L2,0.8571,85.7,wrong_degree
CBSE 10th (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
Indian CBSE 10th (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
India CBSE 10th (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
IN CBSE 10th (Hons) qualification,10th Standard,Secondary (Class X),,,review_needed,L3,0.75,75.0,wrong_degree
X H O N S,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X H O N S qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X H O N S (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
X H O N S (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X H O N S (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X H O N S,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X H O N S qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X H O N S (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X H O N S (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X H O N S (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X H O N S,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X H O N S qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X H O N S (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X H O N S (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X H O N S (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X H O N S,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X H O N S qualification,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X H O N S (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X H O N S (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN X H O N S (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
X.H.O.N.S.,10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
X.H.O.N.S. qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X.H.O.N.S. (India),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
X.H.O.N.S. (IN),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
X.H.O.N.S. (school qualification),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
Indian X.H.O.N.S.,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X.H.O.N.S. qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X.H.O.N.S. (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X.H.O.N.S. (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X.H.O.N.S. (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X.H.O.N.S.,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X.H.O.N.S. qualification,10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X.H.O.N.S. (India),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X.H.O.N.S. (IN),10th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X.H.O.N.S. (school qualification),10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X.H.O.N.S.,10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
IN X.H.O.N.S. qualification,10th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X.H.O.N.S. (India),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
IN X.H.O.N.S. (IN),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
IN X.H.O.N.S. (school qualification),10th Standard,Bachelor of Engineering,,,review_needed,L2,0.7273,72.7,wrong_degree
12TH qualification,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 12TH,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 12TH qualification,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 12TH (India),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 12TH (IN),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
Indian 12TH (school qualification),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
India 12TH,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
India 12TH qualification,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
India 12TH (India),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
India 12TH (IN),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
India 12TH (school qualification),12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
IN 12TH qualification,12th Standard,Senior Secondary (Class XII),,,review_needed,L3,0.75,75.0,wrong_degree
XII Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII Hons,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII Hons (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian XII Hons (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII Hons (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India XII Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN XII Hons qualification,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
XIIHONS,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
XIIHONS qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
XIIHONS (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
XIIHONS (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
XIIHONS (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian XIIHONS,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XIIHONS qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XIIHONS (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian XIIHONS (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XIIHONS (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India XIIHONS,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India XIIHONS qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India XIIHONS (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India XIIHONS (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India XIIHONS (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN XIIHONS,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN XIIHONS qualification,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN XIIHONS (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN XIIHONS (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN XIIHONS (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
+2 qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian +2 (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India +2,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India +2 (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN +2 qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
10+2 (Hons) qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian 10+2 (Hons) qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India 10+2 (Hons) qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN 10+2 (Hons) qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
+2 Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 Hons,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 Hons (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian +2 Hons (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian +2 Hons (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India +2 Hons,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 Hons (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India +2 Hons (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India +2 Hons (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN +2 Hons qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
XII qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian XII (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian XII (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India XII qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN XII qualification,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
X I I,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X I I qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X I I (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
X I I (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
X I I (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X I I,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X I I qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X I I (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian X I I (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian X I I (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X I I,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X I I qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X I I (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India X I I (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India X I I (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X I I,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X I I qualification,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X I I (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN X I I (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
IN X I I (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
isc qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian isc,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian isc qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian isc (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian isc (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian isc (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India isc,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India isc qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India isc (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
India isc (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
India isc (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
IN isc qualification,12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
I S C,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I S C qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I S C (India),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
I S C (IN),12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I S C (school qualification),12th Standard,,,,review_needed,L3,0.35,35.0,wrong_degree
Indian I S C,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Indian I S C qualification,12th Standard,,,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
